TeamId,Squad,Competition,Country,GamesPlayed,Rank,GoalDiff,Attendance,PlUsed,PlAge,Possession,TotalGlsAsist,PrgCariers,PrgPasses,GlsAsistPer90,Sh,SoTPercentage,GlsperSoT,DistofShot,PassesCmp,PassCmpPer,PrgDist
15,Bologna,it Serie A,it ITA,38,9,4,"22,314",27,26.6,54.7,93,564,1366,2.45,479,31.3,0.31,19.6,16763,81.6,103110
16,Bournemouth,eng Premier League,eng ENG,38,15,-34,"10,362",31,26.3,40.4,61,504,1006,1.61,358,35.2,0.29,15.5,11715,76.2,82672
17,Brentford,eng Premier League,eng ENG,38,9,12,"17,078",25,26.2,43.8,92,392,1131,2.42,400,36.8,0.33,15.7,11317,72.8,87006
18,Brest,fr Ligue 1,fr FRA,38,14,-10,"12,667",29,26.6,44.9,71,592,1311,1.87,417,31.7,0.27,17.4,12486,75.9,93329
19,Brighton,eng Premier League,eng ENG,38,6,19,"31,477",29,26.3,60.2,114,809,1849,3,607,36.1,0.28,16.8,19210,83.9,106474
20,Cádiz,es La Liga,es ESP,38,14,-23,"17,741",38,29.1,41.9,49,475,969,1.29,390,27.7,0.23,18.2,9940,71.2,78677
21,Celta Vigo,es La Liga,es ESP,38,13,-10,"14,425",26,26.7,50.2,72,704,1403,1.89,470,34,0.24,19,14700,79.5,91075
22,Chelsea,eng Premier League,eng ENG,38,12,-9,"40,002",32,26.3,58.7,64,829,1737,1.68,481,31.4,0.23,16.8,19147,83.8,104718
23,Clermont Foot,fr Ligue 1,fr FRA,38,8,-4,"11,27",28,27.2,48.3,70,532,1304,1.84,393,35.4,0.27,18.3,14212,79.1,96617
24,Cremonese,it Serie A,it ITA,38,19,-33,"11,978",33,26,42.1,53,521,1107,1.39,458,26.6,0.25,18.5,10872,72.3,82419
25,Crystal Palace,eng Premier League,eng ENG,38,11,-9,"24,952",26,26.7,46.3,67,556,1243,1.76,423,31.4,0.28,17.6,13395,77.4,88389
26,Dortmund,de Bundesliga,de GER,34,2,39,"81,228",30,25.8,58.2,142,783,1628,4.18,558,39.2,0.35,16.6,16445,82.7,100043
27,Eint Frankfurt,de Bundesliga,de GER,34,7,6,"50,1",28,26.4,52.9,89,632,1372,2.62,399,33.1,0.38,16.9,13930,77.5,87723
28,Elche,es La Liga,es ESP,38,20,-37,"19,875",32,28.3,45.5,51,561,1197,1.34,400,31,0.21,16.9,12051,76.5,87460
29,Empoli,it Serie A,it ITA,38,14,-12,"9,808",32,25.3,47.3,55,608,1114,1.45,447,28.9,0.26,18.3,13199,78.3,88608
